Id,Source,Target,Weight,Type
0,0,0,1,Undirected
1,1,0,1,Undirected
2,1,1,1,Undirected
3,3,3,1,Undirected
4,4,3,1,Undirected
5,4,4,1,Undirected
6,5,3,1,Undirected
7,5,4,1,Undirected
8,5,5,1,Undirected
9,6,3,1,Undirected
10,6,4,1,Undirected
11,6,5,1,Undirected
12,6,6,1,Undirected
13,7,3,1,Undirected
14,7,4,1,Undirected
15,7,5,1,Undirected
16,7,6,1,Undirected
17,7,7,1,Undirected
18,9,9,1,Undirected
19,10,9,1,Undirected
20,10,10,1,Undirected
21,11,9,1,Undirected
22,11,10,1,Undirected
23,11,11,1,Undirected
24,14,14,1,Undirected
25,15,14,1,Undirected
26,15,15,1,Undirected
27,16,16,1,Undirected
28,18,18,1,Undirected
29,19,18,1,Undirected
30,19,19,1,Undirected
31,20,18,1,Undirected
32,20,19,1,Undirected
33,20,20,1,Undirected
34,21,18,1,Undirected
35,21,19,1,Undirected
36,21,20,1,Undirected
37,21,21,1,Undirected
38,22,18,1,Undirected
39,22,19,1,Undirected
40,22,20,1,Undirected
41,22,21,1,Undirected
42,22,22,1,Undirected
43,24,24,1,Undirected
44,25,24,1,Undirected
45,25,25,1,Undirected
46,27,27,1,Undirected
47,29,29,1,Undirected
48,31,31,1,Undirected
49,33,33,1,Undirected
50,34,33,1,Undirected
51,34,34,1,Undirected
52,35,33,1,Undirected
53,35,34,1,Undirected
54,35,35,1,Undirected
55,36,33,1,Undirected
56,36,34,1,Undirected
57,36,35,1,Undirected
58,36,36,1,Undirected
59,38,38,1,Undirected
60,40,40,1,Undirected
61,42,42,1,Undirected
62,44,44,1,Undirected
63,45,44,1,Undirected
64,45,45,1,Undirected
65,46,44,1,Undirected
66,46,45,1,Undirected
67,46,46,1,Undirected
68,47,44,1,Undirected
69,47,45,1,Undirected
70,47,46,1,Undirected
71,47,47,1,Undirected
72,48,44,1,Undirected
73,48,45,1,Undirected
74,48,46,1,Undirected
75,48,47,1,Undirected
76,48,48,1,Undirected
77,44,44,1,Undirected
78,46,44,1,Undirected
79,46,46,1,Undirected
80,47,44,1,Undirected
81,47,46,1,Undirected
82,47,47,1,Undirected
83,48,44,1,Undirected
84,48,46,1,Undirected
85,48,47,1,Undirected
86,48,48,1,Undirected
87,50,50,1,Undirected
88,53,53,1,Undirected
89,54,53,1,Undirected
90,54,54,1,Undirected
91,55,53,1,Undirected
92,55,54,1,Undirected
93,55,55,1,Undirected
94,56,53,1,Undirected
95,56,54,1,Undirected
96,56,55,1,Undirected
97,56,56,1,Undirected
98,58,58,1,Undirected
99,59,58,1,Undirected
100,59,59,1,Undirected
101,60,58,1,Undirected
102,60,59,1,Undirected
103,60,60,1,Undirected
104,62,62,1,Undirected
105,64,64,1,Undirected
106,65,64,1,Undirected
107,65,65,1,Undirected
108,67,67,1,Undirected
109,69,69,1,Undirected
110,70,69,1,Undirected
111,70,70,1,Undirected
112,71,69,1,Undirected
113,71,70,1,Undirected
114,71,71,1,Undirected
115,73,73,1,Undirected
116,74,73,1,Undirected
117,74,74,1,Undirected
118,76,76,1,Undirected
119,78,78,1,Undirected
120,80,80,1,Undirected
121,81,80,1,Undirected
122,81,81,1,Undirected
123,82,80,1,Undirected
124,82,81,1,Undirected
125,82,82,1,Undirected
126,84,84,1,Undirected
127,85,84,1,Undirected
128,85,85,1,Undirected
129,86,84,1,Undirected
130,86,85,1,Undirected
131,86,86,1,Undirected
132,87,84,1,Undirected
133,87,85,1,Undirected
134,87,86,1,Undirected
135,87,87,1,Undirected
136,89,89,1,Undirected
137,90,89,1,Undirected
138,90,90,1,Undirected
139,91,89,1,Undirected
140,91,90,1,Undirected
141,91,91,1,Undirected
142,93,93,1,Undirected
143,94,93,1,Undirected
144,94,94,1,Undirected
145,95,93,1,Undirected
146,95,94,1,Undirected
147,95,95,1,Undirected
148,96,93,1,Undirected
149,96,94,1,Undirected
150,96,95,1,Undirected
151,96,96,1,Undirected
152,97,93,1,Undirected
153,97,94,1,Undirected
154,97,95,1,Undirected
155,97,96,1,Undirected
156,97,97,1,Undirected
157,99,99,1,Undirected
158,101,101,1,Undirected
159,103,103,1,Undirected
160,104,103,1,Undirected
161,104,104,1,Undirected
162,106,106,1,Undirected
163,107,106,1,Undirected
164,107,107,1,Undirected
165,109,109,1,Undirected
166,111,111,1,Undirected
167,10,111,1,Undirected
168,10,10,1,Undirected
169,17,111,1,Undirected
170,17,10,1,Undirected
171,17,17,1,Undirected
172,112,111,1,Undirected
173,112,10,1,Undirected
174,112,17,1,Undirected
175,112,112,1,Undirected
176,114,114,1,Undirected
177,116,116,1,Undirected
178,118,118,1,Undirected
179,120,120,1,Undirected
180,84,84,1,Undirected
181,122,122,1,Undirected
182,123,122,1,Undirected
183,123,123,1,Undirected
184,125,125,1,Undirected
185,127,127,1,Undirected
186,128,127,1,Undirected
187,128,128,1,Undirected
188,129,127,1,Undirected
189,129,128,1,Undirected
190,129,129,1,Undirected
191,131,131,1,Undirected
192,133,133,1,Undirected
193,134,133,1,Undirected
194,134,134,1,Undirected
195,135,133,1,Undirected
196,135,134,1,Undirected
197,135,135,1,Undirected
198,136,133,1,Undirected
199,136,134,1,Undirected
200,136,135,1,Undirected
201,136,136,1,Undirected
202,138,138,1,Undirected
203,140,140,1,Undirected
204,141,140,1,Undirected
205,141,141,1,Undirected
206,142,142,1,Undirected
207,143,142,1,Undirected
208,143,143,1,Undirected
209,144,142,1,Undirected
210,144,143,1,Undirected
211,144,144,1,Undirected
212,2,142,1,Undirected
213,2,143,1,Undirected
214,2,144,1,Undirected
215,2,2,1,Undirected
216,145,142,1,Undirected
217,145,143,1,Undirected
218,145,144,1,Undirected
219,145,2,1,Undirected
220,145,145,1,Undirected
221,146,142,1,Undirected
222,146,143,1,Undirected
223,146,144,1,Undirected
224,146,2,1,Undirected
225,146,145,1,Undirected
226,146,146,1,Undirected
227,34,142,1,Undirected
228,34,143,1,Undirected
229,34,144,1,Undirected
230,34,2,1,Undirected
231,34,145,1,Undirected
232,34,146,1,Undirected
233,34,34,1,Undirected
234,39,142,1,Undirected
235,39,143,1,Undirected
236,39,144,1,Undirected
237,39,2,1,Undirected
238,39,145,1,Undirected
239,39,146,1,Undirected
240,39,34,1,Undirected
241,39,39,1,Undirected
242,147,142,1,Undirected
243,147,143,1,Undirected
244,147,144,1,Undirected
245,147,2,1,Undirected
246,147,145,1,Undirected
247,147,146,1,Undirected
248,147,34,1,Undirected
249,147,39,1,Undirected
250,147,147,1,Undirected
251,148,142,1,Undirected
252,148,143,1,Undirected
253,148,144,1,Undirected
254,148,2,1,Undirected
255,148,145,1,Undirected
256,148,146,1,Undirected
257,148,34,1,Undirected
258,148,39,1,Undirected
259,148,147,1,Undirected
260,148,148,1,Undirected
261,149,142,1,Undirected
262,149,143,1,Undirected
263,149,144,1,Undirected
264,149,2,1,Undirected
265,149,145,1,Undirected
266,149,146,1,Undirected
267,149,34,1,Undirected
268,149,39,1,Undirected
269,149,147,1,Undirected
270,149,148,1,Undirected
271,149,149,1,Undirected
272,150,142,1,Undirected
273,150,143,1,Undirected
274,150,144,1,Undirected
275,150,2,1,Undirected
276,150,145,1,Undirected
277,150,146,1,Undirected
278,150,34,1,Undirected
279,150,39,1,Undirected
280,150,147,1,Undirected
281,150,148,1,Undirected
282,150,149,1,Undirected
283,150,150,1,Undirected
284,152,152,1,Undirected
285,154,154,1,Undirected
286,156,156,1,Undirected
287,157,156,1,Undirected
288,157,157,1,Undirected
289,158,156,1,Undirected
290,158,157,1,Undirected
291,158,158,1,Undirected
292,160,160,1,Undirected
293,161,160,1,Undirected
294,161,161,1,Undirected
295,162,160,1,Undirected
296,162,161,1,Undirected
297,162,162,1,Undirected
298,163,160,1,Undirected
299,163,161,1,Undirected
300,163,162,1,Undirected
301,163,163,1,Undirected
302,165,165,1,Undirected
303,167,167,1,Undirected
304,169,169,1,Undirected
305,171,171,1,Undirected
306,173,173,1,Undirected
307,157,157,1,Undirected
308,175,175,1,Undirected
309,176,176,1,Undirected
310,178,178,1,Undirected
311,180,180,1,Undirected
312,181,181,1,Undirected
313,104,181,1,Undirected
314,104,104,1,Undirected
315,182,181,1,Undirected
316,182,104,1,Undirected
317,182,182,1,Undirected
318,183,181,1,Undirected
319,183,104,1,Undirected
320,183,182,1,Undirected
321,183,183,1,Undirected
322,185,185,1,Undirected
323,144,185,1,Undirected
324,144,144,1,Undirected
325,186,185,1,Undirected
326,186,144,1,Undirected
327,186,186,1,Undirected
328,187,185,1,Undirected
329,187,144,1,Undirected
330,187,186,1,Undirected
331,187,187,1,Undirected
332,189,189,1,Undirected
333,190,189,1,Undirected
334,190,190,1,Undirected
335,192,192,1,Undirected
336,194,194,1,Undirected
337,196,196,1,Undirected
338,197,196,1,Undirected
339,197,197,1,Undirected
340,198,196,1,Undirected
341,198,197,1,Undirected
342,198,198,1,Undirected
343,200,200,1,Undirected
344,202,202,1,Undirected
345,203,202,1,Undirected
346,203,203,1,Undirected
347,204,204,1,Undirected
348,205,204,1,Undirected
349,205,205,1,Undirected
350,206,204,1,Undirected
351,206,205,1,Undirected
352,206,206,1,Undirected
353,208,208,1,Undirected
354,209,208,1,Undirected
355,209,209,1,Undirected
356,211,211,1,Undirected
357,212,211,1,Undirected
358,212,212,1,Undirected
359,214,214,1,Undirected
360,216,216,1,Undirected
361,218,218,1,Undirected
362,220,220,1,Undirected
363,82,220,1,Undirected
364,82,82,1,Undirected
365,222,222,1,Undirected
366,223,222,1,Undirected
367,223,223,1,Undirected
368,11,222,1,Undirected
369,11,223,1,Undirected
370,11,11,1,Undirected
371,224,222,1,Undirected
372,224,223,1,Undirected
373,224,11,1,Undirected
374,224,224,1,Undirected
375,226,226,1,Undirected
376,227,226,1,Undirected
377,227,227,1,Undirected
378,228,226,1,Undirected
379,228,227,1,Undirected
380,228,228,1,Undirected
381,229,226,1,Undirected
382,229,227,1,Undirected
383,229,228,1,Undirected
384,229,229,1,Undirected
385,133,133,1,Undirected
386,231,133,1,Undirected
387,231,231,1,Undirected
388,232,133,1,Undirected
389,232,231,1,Undirected
390,232,232,1,Undirected
391,233,133,1,Undirected
392,233,231,1,Undirected
393,233,232,1,Undirected
394,233,233,1,Undirected
395,234,133,1,Undirected
396,234,231,1,Undirected
397,234,232,1,Undirected
398,234,233,1,Undirected
399,234,234,1,Undirected
400,235,133,1,Undirected
401,235,231,1,Undirected
402,235,232,1,Undirected
403,235,233,1,Undirected
404,235,234,1,Undirected
405,235,235,1,Undirected
406,86,86,1,Undirected
407,237,86,1,Undirected
408,237,237,1,Undirected
409,239,239,1,Undirected
410,241,241,1,Undirected
411,243,243,1,Undirected
412,244,243,1,Undirected
413,244,244,1,Undirected
414,245,243,1,Undirected
415,245,244,1,Undirected
416,245,245,1,Undirected
417,247,247,1,Undirected
418,248,247,1,Undirected
419,248,248,1,Undirected
420,249,247,1,Undirected
421,249,248,1,Undirected
422,249,249,1,Undirected
423,250,247,1,Undirected
424,250,248,1,Undirected
425,250,249,1,Undirected
426,250,250,1,Undirected
427,251,247,1,Undirected
428,251,248,1,Undirected
429,251,249,1,Undirected
430,251,250,1,Undirected
431,251,251,1,Undirected
432,253,253,1,Undirected
433,254,253,1,Undirected
434,254,254,1,Undirected
435,256,256,1,Undirected
436,256,256,1,Undirected
437,257,256,1,Undirected
438,257,257,1,Undirected
439,259,259,1,Undirected
440,261,261,1,Undirected
441,262,261,1,Undirected
442,262,262,1,Undirected
443,263,261,1,Undirected
444,263,262,1,Undirected
445,263,263,1,Undirected
446,264,261,1,Undirected
447,264,262,1,Undirected
448,264,263,1,Undirected
449,264,264,1,Undirected
450,266,266,1,Undirected
451,267,266,1,Undirected
452,267,267,1,Undirected
453,268,266,1,Undirected
454,268,267,1,Undirected
455,268,268,1,Undirected
456,270,270,1,Undirected
457,271,270,1,Undirected
458,271,271,1,Undirected
459,272,270,1,Undirected
460,272,271,1,Undirected
461,272,272,1,Undirected
462,274,274,1,Undirected
463,276,276,1,Undirected
464,277,276,1,Undirected
465,277,277,1,Undirected
466,278,276,1,Undirected
467,278,277,1,Undirected
468,278,278,1,Undirected
469,88,276,1,Undirected
470,88,277,1,Undirected
471,88,278,1,Undirected
472,88,88,1,Undirected
473,39,39,1,Undirected
474,280,39,1,Undirected
475,280,280,1,Undirected
476,281,281,1,Undirected
477,282,281,1,Undirected
478,282,282,1,Undirected
479,259,281,1,Undirected
480,259,282,1,Undirected
481,259,259,1,Undirected
482,284,284,1,Undirected
483,285,284,1,Undirected
484,285,285,1,Undirected
485,287,287,1,Undirected
486,288,287,1,Undirected
487,288,288,1,Undirected
488,290,290,1,Undirected
489,292,292,1,Undirected
490,141,292,1,Undirected
491,141,141,1,Undirected
492,293,293,1,Undirected
493,57,293,1,Undirected
494,57,57,1,Undirected
495,294,293,1,Undirected
496,294,57,1,Undirected
497,294,294,1,Undirected
498,296,296,1,Undirected
499,297,296,1,Undirected
500,297,297,1,Undirected
501,298,296,1,Undirected
502,298,297,1,Undirected
503,298,298,1,Undirected
504,299,296,1,Undirected
505,299,297,1,Undirected
506,299,298,1,Undirected
507,299,299,1,Undirected
508,180,180,1,Undirected
